Feature,Importance
cat__Track_The Milwaukee Mile,0.00014117497969002706
cat__Driver_Ricky Stenhouse Jr.,0.00014100984759409391
cat__Team_RFK Racing,0.00013956111241082494
cat__Driver_Reed Sorenson,0.00013954829545822714
cat__Driver_Bill Elliott,0.00013795335476691426
cat__Driver_Joe Nemechek,0.00013742035127439154
cat__Driver_Ricky Rudd,0.0001342633780589202
cat__Driver_Bubba Wallace,0.00013326557882695051
cat__Driver_Johnny Sauter,0.00013303161280389338
cat__Driver_Dave Blaney,0.00012717089443216705
cat__Track_Hickory Speedway,0.0001257637047571673
cat__Driver_Todd Bodine,0.00012471320886288154
cat__Driver_Robby Gordon,0.00012463764239535328
cat__Driver_Christopher Bell,0.00012359488079208687
cat__Driver_A.J. Allmendinger,0.00012339726829044888
cat__Driver_David Ragan,0.000122961947674379
cat__Team_Michael Waltrip Racing,0.00012171536391009062
cat__Driver_Ernie Irvan,0.00012080546657141369
cat__Track_Oxford Plains Speedway,0.00012052733867023416
cat__Driver_Trevor Bayne,0.00012021433879913265
cat__Driver_Martin Truex Jr.,0.0001201493370919704
cat__Driver_Chris Buescher,0.00011952891255460631
cat__Team_Junior Johnson & Associates,0.00011938849980863591
cat__Driver_Brandon Jones,0.00011820046020149223
cat__Driver_Ward Burton,0.0001166076464702468
cat__Make_Plymouth,0.00011650280312061126
cat__Driver_Jimmy Spencer,0.00011512786283575797
cat__Make_Hudson,0.0001146157636685689
cat__Team_Trackhouse Racing,0.00011321010156966282
cat__Driver_Paul Menard,0.00011316930029460997
cat__Track_Iowa Speedway,0.00011256346962590448
cat__Track_Trenton Speedway,0.00011224127190057523
cat__Driver_Jeff Green,0.00011147226505887506
cat__Driver_Erik Jones,0.00011146811559540976
cat__Driver_Kenny Wallace,0.00011105837799539747
cat__Track_Memphis Motorsports Park,0.00011088390648742754
cat__Driver_Terry Labonte,0.00010991695912138519
cat__Team_ppc Racing,0.00010844301284107818
cat__Driver_Kyle Petty,0.00010827799738603167
cat__Track_Bristol Motor Speedway Dirt Track,0.00010657694230259503
cat__Track_Nazareth Speedway,0.00010620905950565478
cat__Make_Mercury,0.00010614586451297651
cat__Team_RSS Racing,0.00010567119706237743
cat__Driver_Rusty Wallace,0.00010465564660249567
cat__Driver_Tyler Reddick,0.00010404488005409711
cat__Driver_Alex Bowman,0.00010399820429298314
cat__Driver_Ted Musgrave,0.00010321810919677704
cat__Driver_Jeremy Mayfield,0.00010219907701592143
cat__Driver_Darrell Waltrip,0.00010194594424255539
cat__Team_Spire Motorsports,0.00010119958629523653
cat__Driver_Steve Park,0.00010070796530264959
cat__Driver_Geoff Bodine,9.973121107991913e-05
cat__Driver_Daniel Suarez,9.935196904099827e-05
cat__Driver_Regan Smith,9.761694625333389e-05
cat__Team_Brewco Motorsports,9.758566705063017e-05
cat__Driver_Justin Haley,9.715738674823037e-05
cat__Team_Andy Petree Racing,9.706271597044963e-05
cat__Driver_Matt DiBenedetto,9.702753123871886e-05
cat__Team_Team SABCO,9.645122040531684e-05
cat__Team_Germain Racing,9.577602850955016e-05
cat__Team_John Eanes (Owner),9.560573768093846e-05
cat__Team_ThorSport Racing,9.503195360046098e-05
cat__Driver_Brian Vickers,9.482194904233016e-05
cat__Driver_Ryan Blaney,9.426162457656863e-05
cat__Driver_Chase Briscoe,9.397012310464345e-05
cat__Team_Morgan-McClure Motorsports,9.39506867087084e-05
cat__Team_Bud Moore Engineering,9.359593760805691e-05
cat__Team_Phoenix Racing,9.333982786256059e-05
cat__Driver_Mike Bliss,9.236767170342313e-05
cat__Driver_Dale Earnhardt,9.223638610868879e-05
cat__Driver_J.J. Yeley,9.177788042735376e-05
cat__Team_Earnhardt Ganassi Racing,9.15712095247715e-05
cat__Driver_Mike Wallace,9.132820421308536e-05
cat__Driver_Mike Skinner,9.081553628867169e-05
cat__Driver_Johnny Benson Jr.,9.061302749796984e-05
cat__Driver_Juan Pablo Montoya,9.051937075864611e-05
cat__Track_Asheville-Weaverville Speedway,9.030782338718504e-05
cat__Team_23XI Racing,8.968841480341454e-05
cat__Team_BACE Motorsports,8.821639159267632e-05
cat__Team_MB2 Motorsports,8.816801657601537e-05
cat__Driver_Daniel Hemric,8.808160761120672e-05
cat__Driver_Justin Allgaier,8.772823949047123e-05
cat__Driver_Bobby Hamilton,8.72641956860322e-05
cat__Driver_Chase Elliott,8.700685761583519e-05
cat__Driver_Jack Sprague,8.692830638658481e-05
cat__Driver_Ricky Craven,8.621713783065401e-05
cat__Driver_Chandler Smith,8.615810876287879e-05
cat__Driver_Ty Dillon,8.517846272691255e-05
cat__Driver_Marcos Ambrose,8.397782921591253e-05
cat__Team_Kevin Harvick Inc.,8.318817119604924e-05
cat__Driver_Austin Cindric,8.261569493143603e-05
cat__Track_Pikes Peak International Raceway,8.24611700819241e-05
cat__Track_Bay Meadows Race Track,8.178412209474637e-05
cat__Driver_Ty Gibbs,8.169364624579912e-05
cat__Track_Charlotte Speedway,8.104458871166491e-05
cat__Driver_John Andretti,8.077930839808281e-05
cat__Driver_Jason Keller,8.040689681057627e-05
cat__Driver_Ron Hornaday Jr.,8.029799699694582e-05
cat__Driver_Corey Heim,7.777595882021689e-05
cat__Driver_Taylor Gray,7.761317970646053e-05
cat__Track_Indianapolis Motor Speedway Road Course,7.706130117880789e-05
cat__Team_Niece Motorsports,7.69733126024113e-05
cat__Driver_Jeff Purvis,7.697177435613606e-05
cat__Team_Team Rensi Motorsports,7.58276824622688e-05
cat__Driver_Josh Berry,7.54357494279396e-05
cat__Track_Louisville Motor Speedway,7.541140365458744e-05
cat__Driver_Robert Pressley,7.525881939852534e-05
cat__Team_Bill Elliott Racing,7.496236413575045e-05
cat__Track_EchoPark Speedway,7.480441059412978e-05
cat__Driver_John Hunter Nemechek,7.366078847277754e-05
cat__Team_Cicci-Welliver Racing,7.198255847314643e-05
cat__Driver_Riley Herbst,7.099987879994624e-05
cat__Driver_Noah Gragson,7.095058699843755e-05
cat__Driver_David Green,7.037573094143477e-05
cat__Driver_Sheldon Creed,7.008483281688253e-05
cat__Driver_Fireball Roberts,6.97585522870522e-05
cat__Track_Portland Speedway,6.971854331945613e-05
cat__Team_DGM Racing,6.968544987852488e-05
cat__Team_Carter-Haas Motorsports,6.932685942085342e-05
cat__Team_Hagan Enterprises,6.899537096705933e-05
cat__Team_Stavola Brothers Racing,6.799699929568611e-05
cat__Driver_Morgan Shepherd,6.798249394307888e-05
cat__Team_Melling Racing,6.773323304701669e-05
cat__Team_NEMCO Motorsports,6.758123730505102e-05
cat__Driver_Ryan Sieg,6.708980295228308e-05
cat__Driver_Daniel Dye,6.692324419500018e-05
cat__Driver_Curtis Turner,6.668197783865061e-05
cat__Track_Rambi Race Track,6.631464009887899e-05
cat__Driver_Michael Annett,6.547942493548967e-05
cat__Driver_Brendan Gaughan,6.520787297507997e-05
